ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
8133372	4.71e-06	4.08e-09	9.369366	10.92309	1.9481496	ELN	elastin
7932130	7.86e-06	7.05e-09	9.0821828	10.41815	1.2752415		
8101957	1.10e-05	1.02e-08	8.8899631	10.073428	2.3492589	EMCN	endomucin
8128837	1.34e-05	1.29e-08	8.7717816	9.85877	1.7768368	METTL24	methyltransferase like 24
7893559	1.34e-05	1.33e-08	-8.7572075	9.832155	-1.1115841		
7917612	1.41e-05	1.52e-08	8.688594	9.706428	1.7475257	HFM1	HFM1, ATP dependent DNA helicase homolog
8103544	1.41e-05	1.53e-08	8.6852554	9.700292	2.019248	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3
8094789	1.41e-05	1.53e-08	8.6851506	9.700099	2.2101473	LIMCH1	LIM and calponin homology domains 1
7956539	1.49e-05	1.65e-08	8.6454984	9.6271	1.8900337	DTX3	deltex E3 ubiquitin ligase 3
8174239	1.73e-05	1.98e-08	8.554528	9.458735	2.7024559	BEX2	brain expressed X-linked 2
7932744	1.83e-05	2.15e-08	8.5128556	9.381195	1.5575708	ARMC4	armadillo repeat containing 4
8104693	2.15e-05	2.59e-08	8.4213894	9.210089	2.4419126	PDZD2	PDZ domain containing 2
8174141	2.28e-05	2.82e-08	8.3793345	9.130994	2.2877154	BEX5	brain expressed X-linked 5
7965226	2.68e-05	3.40e-08	8.2859428	8.954394	1.4450007	RASSF9	Ras association domain family member 9
8089145	2.90e-05	3.77e-08	8.2361696	8.859737	1.6647049	ABI3BP	ABI family member 3 binding protein
8111739	4.48e-05	5.96e-08	-8.0126511	8.430042	-4.3823828	FYB	FYN binding protein
8094759	5.13e-05	6.99e-08	7.9356241	8.280213	1.6229795	NSUN7	NOP2/Sun RNA methyltransferase family member 7
8150881	5.29e-05	7.37e-08	7.9100287	8.230227	1.8853221	PLAG1	PLAG1 zinc finger
7917322	5.50e-05	8.09e-08	7.8649281	8.141909	1.473859	SYDE2	synapse defective Rho GTPase homolog 2
8123303	5.50e-05	8.12e-08	7.8634989	8.139105	1.5204003	PACRG	PARK2 coregulated
8032871	5.50e-05	8.16e-08	-7.8607253	8.133663	-1.6775363	DPP9	dipeptidyl peptidase 9
7893051	8.40e-05	1.27e-07	7.6489442	7.714693	3.5105825		
7977965	8.56e-05	1.32e-07	7.6308589	7.678601	1.8575021	SLC22A17	solute carrier family 22 member 17
7895484	1.19e-04	1.90e-07	-7.460492	7.336191	-1.6675396		
7954926	1.19e-04	1.91e-07	7.4587002	7.332567	1.459808	PDZRN4	PDZ domain containing ring finger 4
7969609	1.44e-04	2.37e-07	7.3570875	7.126243	1.0860207		
8080487	1.44e-04	2.41e-07	-7.3495722	7.110922	-2.9725283	PRKCD	protein kinase C delta
7956867	1.52e-04	2.59e-07	7.3172081	7.044847	2.1992788	ELAC2///HMGA2///HMGA2	elaC ribonuclease Z 2///high mobility group AT-hook 2///high mobility group AT-hook 2
8180229	1.54e-04	2.67e-07	7.3020708	7.013889	1.6969092		
7983145	1.58e-04	2.79e-07	7.2818358	6.972453	2.6559208	STARD9	StAR related lipid transfer domain containing 9
7917885	1.69e-04	3.05e-07	7.2413704	6.889407	3.2901396	CNN3	calponin 3
7946933	1.69e-04	3.09e-07	7.235505	6.877349	1.559226	SERGEF	secretion regulating guanine nucleotide exchange factor
7926105	1.69e-04	3.14e-07	7.2278796	6.861666	1.5049131	GATA3	GATA binding protein 3
7896375	1.77e-04	3.36e-07	-7.1962424	6.796506	-1.5767568		
8078529	1.77e-04	3.40e-07	7.1910112	6.785718	1.4789998	STAC	SH3 and cysteine rich domain
7962625	1.96e-04	3.92e-07	7.1257803	6.650852	1.1562897	RAPGEF3	Rap guanine nucleotide exchange factor 3
7978801	1.96e-04	3.92e-07	7.1255595	6.650394	1.265298	MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2
7949650	1.96e-04	3.94e-07	7.1235604	6.646251	2.1229237	CTSF	cathepsin F
8168968	1.96e-04	4.06e-07	7.1099238	6.617974	1.6882595	GPRASP1	G protein-coupled receptor associated sorting protein 1
7981290	1.96e-04	4.07e-07	-7.1090253	6.616109	-2.4736644	WARS	tryptophanyl-tRNA synthetase
7907830	2.01e-04	4.27e-07	-7.0871087	6.570602	-2.1734382	QSOX1	quiescin sulfhydryl oxidase 1
8025351	2.01e-04	4.29e-07	-7.0845163	6.565215	-1.3613273	MAP2K7	mitogen-activated protein kinase kinase 7
7893609	2.09e-04	4.53e-07	-7.0600049	6.514227	-1.7158797		
7896508	2.10e-04	4.67e-07	-7.0459536	6.484959	-1.1737317		
7894784	2.10e-04	4.69e-07	7.04456	6.482054	1.6744824		
7893392	2.21e-04	5.00e-07	7.0149295	6.420235	2.4646138		
7893153	2.23e-04	5.14e-07	-7.0028643	6.395026	-1.8984268		
7941563	2.23e-04	5.17e-07	6.9997907	6.388601	1.6140523		
7930663	2.25e-04	5.28e-07	6.9903234	6.368801	1.1946574	VWA2	von Willebrand factor A domain containing 2
7894474	2.30e-04	5.49e-07	6.9727491	6.332011	1.7805397		
7894992	2.33e-04	5.62e-07	6.9616562	6.308767	1.6233543		
7895585	2.34e-04	5.71e-07	6.9547243	6.294232	2.0594608		
8006415	2.35e-04	5.81e-07	6.9469732	6.277972	2.2873802	TMEM98	transmembrane protein 98
8003060	2.38e-04	6.03e-07	6.9298777	6.242079	2.4142073	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1
7895810	2.38e-04	6.04e-07	6.9289534	6.240137	2.5953147		
7993148	2.39e-04	6.13e-07	-6.9222841	6.226121	-1.4438664	PMM2	phosphomannomutase 2
7969596	2.62e-04	6.83e-07	6.8740114	6.124488	1.8551264	GPC5	glypican 5
7934717	2.62e-04	6.96e-07	6.8649298	6.105331	1.7912485		
7983143	2.62e-04	6.98e-07	6.8638966	6.10315	2.6232533	STARD9	StAR related lipid transfer domain containing 9
8068024	2.63e-04	7.08e-07	6.85745	6.089543	1.9662425	JAM2	junctional adhesion molecule 2
7974337	2.67e-04	7.26e-07	6.846103	6.065578	1.0522768		
7926539	2.67e-04	7.36e-07	6.8398885	6.052445	1.7655404		
8040547	2.68e-04	7.46e-07	6.8341811	6.040378	1.8823107		
7979125	2.81e-04	7.92e-07	6.8072518	5.983383	1.0159452		
8168691	2.86e-04	8.13e-07	-6.7954241	5.958318	-1.4810188	DIAPH2	diaphanous related formin 2
8014316	2.98e-04	8.57e-07	-6.7714925	5.907541	-2.9867177	CCL5	C-C motif chemokine ligand 5
7988283	3.05e-04	8.95e-07	6.7521289	5.866396	1.5270773	EIF3J-AS1	EIF3J antisense RNA 1 (head to head)
8138258	3.05e-04	8.96e-07	6.7517042	5.865493	3.7614255	VWDE	von Willebrand factor D and EGF domains
7954481	3.07e-04	9.15e-07	6.7423665	5.845633	2.2719915	SSPN	sarcospan
7992219	3.07e-04	9.21e-07	6.7396704	5.839896	1.4319716	BAIAP3	BAI1 associated protein 3
7892762	3.19e-04	9.68e-07	-6.7171371	5.791911	-1.0852062		
7895941	3.19e-04	9.78e-07	6.7123883	5.781789	1.4146006		
8052803	3.23e-04	1.01e-06	-6.6991592	5.753575	-1.5146288	AAK1	AP2 associated kinase 1
7971922	3.23e-04	1.01e-06	6.6986051	5.752393	1.4793598	PCDH9	protocadherin 9
7910229	3.42e-04	1.08e-06	-6.6683114	5.68769	-0.982238	ARF1	ADP ribosylation factor 1
8067055	3.47e-04	1.10e-06	6.658433	5.666564	2.6581995	ATP9A	ATPase phospholipid transporting 9A (putative)
8008784	3.54e-04	1.14e-06	-6.6446292	5.63702	-2.9637412	PRR11	proline rich 11
7906576	3.59e-04	1.17e-06	-6.6335572	5.613303	-1.5477792	NCSTN	nicastrin
8091283	3.81e-04	1.25e-06	6.6038461	5.549578	4.3593358	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
8051427	3.81e-04	1.26e-06	-6.5993289	5.539878	-1.2300256	FEZ2	fasciculation and elongation protein zeta 2
7894037	3.81e-04	1.27e-06	6.595181	5.53097	1.2929236		
8180293	3.99e-04	1.34e-06	-6.570797	5.47855	-1.413339		
7899187	4.16e-04	1.42e-06	-6.5480533	5.429583	-1.6160341	HMGN2	high mobility group nucleosomal binding domain 2
7894098	4.16e-04	1.43e-06	-6.5444171	5.421747	-0.9149442		
8108127	4.24e-04	1.47e-06	6.5321696	5.395343	1.8067145	CAMLG	calcium modulating ligand
8028309	4.25e-04	1.49e-06	6.5264283	5.382958	1.327907		
7973108	4.26e-04	1.50e-06	-6.5219486	5.373292	-4.2485025	ECRP///ECRP	ribonuclease A family member 2 pseudogene///ribonuclease A family member 2 pseudogene
8152111	4.36e-04	1.56e-06	6.5051583	5.337037	1.6669827	ZNF706	zinc finger protein 706
8083407	4.36e-04	1.57e-06	6.5024804	5.331252	3.2764313		
7947551	4.36e-04	1.58e-06	6.500013	5.32592	0.9219296		
7924863	4.45e-04	1.62e-06	6.4873775	5.298602	0.9032936	C1orf145	chromosome 1 open reading frame 145
7999412	4.54e-04	1.67e-06	6.4747846	5.271356	1.6739462	TVP23A	trans-golgi network vesicle protein 23 homolog A
8167185	4.70e-04	1.74e-06	-6.45615	5.230997	-2.5997942	TIMP1	TIMP metallopeptidase inhibitor 1
7899688	4.73e-04	1.78e-06	-6.4480199	5.213375	-1.3333644	KPNA6	karyopherin subunit alpha 6
8055151	4.73e-04	1.79e-06	-6.4452736	5.20742	-1.6677795	POTEF///POTEJ///POTEM///POTEE///POTEKP	POTE ankyrin domain family member F///POTE ankyrin domain family member J///POTE ankyrin domain family member M///POTE ankyrin domain family member E///POTE ankyrin domain family member K, pseudogene
7932160	4.95e-04	1.88e-06	-6.4220387	5.157	-2.827466	FAM107B	family with sequence similarity 107 member B
8046408	4.95e-04	1.90e-06	-6.418948	5.150288	-2.0936615	PDK1	pyruvate dehydrogenase kinase 1
7906969	4.98e-04	1.92e-06	6.4127765	5.136881	3.1151628		
7903455	4.99e-04	1.94e-06	6.408364	5.127292	1.0383782		
8104723	5.04e-04	1.98e-06	6.4000465	5.10921	2.9728759		
7997427	5.44e-04	2.16e-06	-6.3629412	5.028433	-1.4860077	CMIP	c-Maf inducing protein
8145532	5.54e-04	2.21e-06	6.3518723	5.004301	1.0970346	EPHX2	epoxide hydrolase 2
8083968	6.20e-04	2.52e-06	6.2951204	4.880322	0.9670747	NLGN1	neuroligin 1
8161520	6.20e-04	2.53e-06	6.2936209	4.87704	3.4790514	PGM5P2///PGM5	phosphoglucomutase 5 pseudogene 2///phosphoglucomutase 5
8122365	6.20e-04	2.55e-06	6.289754	4.868577	4.5398846	ADGRG6	adhesion G protein-coupled receptor G6
8180260	6.20e-04	2.56e-06	-6.2873135	4.863234	-1.4881206	BANF1	barrier to autointegration factor 1
8056151	6.20e-04	2.57e-06	6.2857953	4.85991	1.6422784	PLA2R1	phospholipase A2 receptor 1
8168868	6.32e-04	2.64e-06	6.2745845	4.835356	2.5306426	ARMCX1	armadillo repeat containing, X-linked 1
7895522	6.34e-04	2.67e-06	6.2697469	4.824756	1.518367		
7895890	6.34e-04	2.69e-06	-6.2662428	4.817075	-1.9912489		
8099817	6.44e-04	2.75e-06	6.2566276	4.795993	3.0399347	KLF3-AS1	KLF3 antisense RNA 1
7983132	6.92e-04	2.98e-06	6.2219382	4.719833	2.8963442	STARD9	StAR related lipid transfer domain containing 9
8036224	7.21e-04	3.12e-06	-6.2013648	4.674592	-2.7867146	TYROBP	TYRO protein tyrosine kinase binding protein
7893477	7.34e-04	3.20e-06	-6.1900495	4.649687	-1.7558245		
7920575	7.54e-04	3.31e-06	6.1757809	4.618259	1.9316832	PBXIP1	PBX homeobox interacting protein 1
8054939	7.63e-04	3.37e-06	6.1675167	4.600044	3.2828334		
7953532	8.26e-04	3.68e-06	6.1300621	4.517385	2.1505508	ENO2	enolase 2
8132031	8.60e-04	3.86e-06	6.1094254	4.471767	1.8514284	PRR15	proline rich 15
8118076	8.74e-04	3.98e-06	6.0964699	4.443102	1.1904142	PSORS1C1	psoriasis susceptibility 1 candidate 1
7893728	8.74e-04	3.98e-06	6.0963767	4.442896	1.4685169		
7895463	8.76e-04	4.06e-06	6.0878868	4.4241	1.3406357		
7973985	8.76e-04	4.08e-06	6.0856052	4.419047	1.1197881	MIPOL1	mirror-image polydactyly 1
7950128	8.76e-04	4.11e-06	-6.0819117	4.410866	-1.868029	ANAPC15	anaphase promoting complex subunit 15
7911532	8.76e-04	4.11e-06	6.0816362	4.410256	1.344227	AURKAIP1	aurora kinase A interacting protein 1
7902205	8.76e-04	4.12e-06	6.0810025	4.408852	4.0347428	IL12RB2	interleukin 12 receptor subunit beta 2
7941621	8.91e-04	4.22e-06	-6.0708491	4.386353	-1.4601293	DPP3	dipeptidyl peptidase 3
7896212	9.02e-04	4.30e-06	6.062828	4.36857	1.8213311		
8139966	9.06e-04	4.35e-06	6.0579401	4.35773	1.8010558	TRIM74///TRIM73///TRIM50	tripartite motif containing 74///tripartite motif containing 73///tripartite motif containing 50
7950332	9.06e-04	4.37e-06	-6.0553832	4.352058	-1.2231341	C2CD3	C2 calcium dependent domain containing 3
7927008	9.13e-04	4.43e-06	-6.0493622	4.338699	-1.3552385	CCNY	cyclin Y
8168892	9.27e-04	4.53e-06	6.0401708	4.318297	1.152048	TCEAL2	transcription elongation factor A like 2
8145685	9.88e-04	4.86e-06	6.0099765	4.251203	2.4989743		
8177261	1.01e-03	4.99e-06	5.9987272	4.226179	3.118628	TTTY10	testis-specific transcript, Y-linked 10 (non-protein coding)
7896192	1.01e-03	5.03e-06	5.9950639	4.218026	1.0072028		
8175539	1.05e-03	5.26e-06	5.9757034	4.174914	1.6924171	LDOC1	leucine zipper down-regulated in cancer 1
7964631	1.05e-03	5.34e-06	5.9697178	4.161577	3.5164347	FAM19A2	family with sequence similarity 19 member A2, C-C motif chemokine like
7894459	1.05e-03	5.35e-06	-5.9685581	4.158992	-2.0810263		
8156523	1.06e-03	5.39e-06	5.9651156	4.151319	1.4801425	MIRLET7D	microRNA let-7d
7953385	1.06e-03	5.43e-06	-5.9619265	4.144209	-0.820174	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
7893032	1.08e-03	5.62e-06	-5.9475432	4.112129	-1.5795666		
8035553	1.08e-03	5.62e-06	-5.9472271	4.111423	-1.086361	COPE	coatomer protein complex subunit epsilon
7896542	1.09e-03	5.68e-06	-5.9426334	4.101172	-1.3628703		
7895230	1.13e-03	5.93e-06	5.9244354	4.060538	1.0540577		
8021047	1.13e-03	5.98e-06	5.9211135	4.053117	2.0877002	SETBP1	SET binding protein 1
7896201	1.17e-03	6.25e-06	-5.9019497	4.010278	-1.0655387		
8012397	1.17e-03	6.26e-06	5.9015463	4.009375	0.9941982	BORCS6	BLOC-1 related complex subunit 6
8034420	1.21e-03	6.54e-06	-5.8826011	3.966982	-1.9320522	MAN2B1	mannosidase alpha class 2B member 1
8060418	1.21e-03	6.58e-06	-5.880191	3.961587	-2.0361137	SIRPA	signal regulatory protein alpha
7964400	1.23e-03	6.75e-06	-5.8686914	3.935831	-1.6882505	STAC3	SH3 and cysteine rich domain 3
7895004	1.23e-03	6.76e-06	5.8685331	3.935476	1.7388669		
8130645	1.27e-03	6.99e-06	5.8542188	3.903396	1.1396643	PARK2	parkin RBR E3 ubiquitin protein ligase
8009693	1.27e-03	7.05e-06	-5.850232	3.894457	-1.6107414	TMEM104	transmembrane protein 104
7910265	1.28e-03	7.14e-06	5.8446822	3.88201	1.0524502	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF
7893929	1.30e-03	7.28e-06	5.8365113	3.863679	1.744237		
7892865	1.34e-03	7.55e-06	5.8211372	3.829167	1.1924438		
8095214	1.37e-03	7.76e-06	5.809683	3.803438	1.5396288		
7942342	1.37e-03	7.80e-06	-5.8070551	3.797533	-1.00132	INPPL1	inositol polyphosphate phosphatase like 1
8071063	1.39e-03	7.98e-06	5.7977545	3.776627	2.5734924	TPTEP1	transmembrane phosphatase with tensin homology pseudogene 1
8082504	1.39e-03	8.02e-06	5.7955246	3.771614	1.3063836	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
8056323	1.44e-03	8.33e-06	5.7790747	3.734611	1.221221	FIGN	fidgetin, microtubule severing factor
7944554	1.47e-03	8.52e-06	5.7693853	3.712802	2.8801657	TMEM136///TMEM136	transmembrane protein 136///transmembrane protein 136
8162610	1.47e-03	8.59e-06	5.7660872	3.705377	1.222273	CDC14B	cell division cycle 14B
7926706	1.48e-03	8.72e-06	5.7599607	3.69158	1.4293284		
8083901	1.49e-03	8.80e-06	-5.7560639	3.682802	-2.0264736	FNDC3B	fibronectin type III domain containing 3B
8140534	1.51e-03	8.96e-06	5.7482523	3.665201	2.1911114	SEMA3C	semaphorin 3C
8171684	1.51e-03	9.03e-06	-5.7449076	3.657662	-1.5295204	SH3KBP1	SH3 domain containing kinase binding protein 1
7949412	1.51e-03	9.05e-06	5.7438399	3.655256	2.0195868	LTBP3	latent transforming growth factor beta binding protein 3
8018324	1.53e-03	9.24e-06	-5.7352818	3.635961	-1.005226	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3
8018870	1.57e-03	9.49e-06	5.7236398	3.609701	1.3870464		
8162902	1.59e-03	9.67e-06	5.7158002	3.592009	1.2329261	TMEM246	transmembrane protein 246
7894130	1.61e-03	9.85e-06	5.7077402	3.573814	1.7802841		
7893494	1.63e-03	1.01e-05	-5.6981592	3.552176	-1.4844034		
8173583	1.63e-03	1.01e-05	5.6974704	3.55062	1.209873	DMRTC1B///FAM226B///FAM226A///DMRTC1	DMRT like family C1B///family with sequence similarity 226 member B (non-protein coding)///family with sequence similarity 226 member A (non-protein coding)///DMRT like family C1
8164314	1.67e-03	1.04e-05	-5.6840532	3.520301	-1.662461	ST6GALNAC4	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 4
7985431	1.67e-03	1.05e-05	5.6826766	3.517189	3.2249378	LOC727751///GOLGA2P3Y///GOLGA2P7///GOLGA2P2Y///GOLGA2P10	golgin A2 pseudogene///golgin A2 pseudogene 3, Y-linked///golgin A2 pseudogene 7///golgin A2 pseudogene 2, Y-linked///golgin A2 pseudogene 10
8055204	1.67e-03	1.05e-05	5.6797135	3.51049	1.8917742		
8049317	1.67e-03	1.06e-05	-5.6782218	3.507118	-1.4175883	DGKD	diacylglycerol kinase delta
7913858	1.70e-03	1.08e-05	5.6688104	3.485834	1.2437494	PAQR7	progestin and adipoQ receptor family member 7
8077198	1.72e-03	1.10e-05	5.6620727	3.47059	0.9015984		
7908779	1.72e-03	1.10e-05	-5.6601951	3.466342	-1.307335	RNPEP	arginyl aminopeptidase
8036430	1.72e-03	1.11e-05	5.6586032	3.462739	1.2128513	ZNF781	zinc finger protein 781
7896642	1.74e-03	1.12e-05	5.6526499	3.449265	0.9180363		
8061222	1.82e-03	1.18e-05	5.6303169	3.398685	0.8443139		
7924817	1.82e-03	1.19e-05	5.6287357	3.395102	3.5005568	PRO2012	uncharacterized protein PRO2012
8110618	1.84e-03	1.21e-05	-5.6201559	3.375656	-1.2988564	ARPP19	cAMP regulated phosphoprotein 19
8000409	1.84e-03	1.22e-05	-5.6171604	3.368865	-1.3334532	HMGN2	high mobility group nucleosomal binding domain 2
8080781	1.84e-03	1.22e-05	-5.616844	3.368147	-1.7501415	PXK	PX domain containing serine/threonine kinase like
7957023	1.84e-03	1.22e-05	-5.6155776	3.365276	-4.3114812	LYZ	lysozyme
7950142	1.84e-03	1.23e-05	-5.6129425	3.359301	-1.2959947	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin
8122860	1.88e-03	1.26e-05	5.6036287	3.338176	5.5538122	MYCT1	myc target 1
8084213	1.91e-03	1.29e-05	5.5936602	3.315556	2.4874857		
7979902	1.97e-03	1.33e-05	5.5793806	3.283137	1.6233694		
8019183	2.02e-03	1.38e-05	-5.5665849	3.25407	-0.8573934	ACTG1	actin gamma 1
8092321	2.02e-03	1.38e-05	-5.5656507	3.251947	-2.2061952	DCUN1D1	defective in cullin neddylation 1 domain containing 1
7964736	2.03e-03	1.39e-05	5.5610634	3.241522	1.7869997	LOC100129940	uncharacterized LOC100129940
8071272	2.06e-03	1.42e-05	5.5531381	3.223506	2.524824	SEPT5-GP1BB	SEPT5-GP1BB readthrough
8042942	2.08e-03	1.44e-05	-5.5472338	3.21008	-1.6753668	HK2	hexokinase 2
8100943	2.09e-03	1.46e-05	5.542307	3.198875	1.7345702	RASSF6	Ras association domain family member 6
8174092	2.15e-03	1.51e-05	5.5282318	3.16685	1.5070743	ARMCX2	armadillo repeat containing, X-linked 2
7930031	2.16e-03	1.52e-05	-5.5245074	3.158372	-0.8914587	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1
8173955	2.16e-03	1.52e-05	5.5233542	3.155747	3.1037789	SYTL4	synaptotagmin like 4
7893221	2.16e-03	1.53e-05	5.5218551	3.152334	1.6560037		
8115196	2.16e-03	1.54e-05	5.5200596	3.148247	2.2581904	ZNF300	zinc finger protein 300
7901363	2.17e-03	1.55e-05	-5.5156771	3.138268	-1.8627605	CDKN2C	cyclin dependent kinase inhibitor 2C
8122038	2.20e-03	1.58e-05	5.5081591	3.121146	1.1399415	TMEM200A	transmembrane protein 200A
7979888	2.20e-03	1.59e-05	5.5057958	3.115762	1.408645	SLC8A3	solute carrier family 8 member A3
8168463	2.21e-03	1.60e-05	5.5028051	3.108949	1.3431274	FGF16	fibroblast growth factor 16
7893677	2.22e-03	1.61e-05	5.5000254	3.102615	0.8390327		
8024391	2.27e-03	1.66e-05	-5.4881927	3.075646	-1.1581244	DOT1L	DOT1 like histone lysine methyltransferase
8138277	2.32e-03	1.71e-05	5.4757253	3.047217	3.9959366	VWDE	von Willebrand factor D and EGF domains
7970162	2.32e-03	1.71e-05	-5.4752812	3.046204	-2.0264831	ATP11A	ATPase phospholipid transporting 11A
8085370	2.36e-03	1.75e-05	5.4652559	3.023332	1.6508752		
8083790	2.36e-03	1.75e-05	5.4647822	3.022252	0.6452391		
8030470	2.36e-03	1.76e-05	-5.463199	3.018639	-1.4331768	AP2A1	adaptor related protein complex 2 alpha 1 subunit
8060063	2.37e-03	1.77e-05	5.4600242	3.011393	0.8875456	NDUFA10	NADH:ubiquinone oxidoreductase subunit A10
7896341	2.40e-03	1.80e-05	5.4525395	2.994308	1.0924637		
7946340	2.41e-03	1.83e-05	5.4473135	2.982376	1.1709064	RIC3	RIC3 acetylcholine receptor chaperone
8039120	2.41e-03	1.83e-05	-5.4471232	2.981942	-1.5500756	OSCAR	osteoclast associated, immunoglobulin-like receptor
7909931	2.45e-03	1.86e-05	-5.4385339	2.962325	-1.1547505	BROX	BRO1 domain and CAAX motif containing
8032972	2.45e-03	1.88e-05	5.4357714	2.956014	1.5154134		
8176026	2.45e-03	1.88e-05	-5.435144	2.954581	-1.4083212	FLNA	filamin A
7902158	2.45e-03	1.88e-05	5.4339954	2.951957	3.6710986	TCTEX1D1	Tctex1 domain containing 1
7973629	2.50e-03	1.94e-05	5.4208877	2.922002	2.3245049	REC8	REC8 meiotic recombination protein
8094778	2.50e-03	1.95e-05	5.420573	2.921283	2.4052546	UCHL1	ubiquitin C-terminal hydrolase L1
7894645	2.50e-03	1.96e-05	5.4182042	2.915868	1.7278581		
7893194	2.50e-03	1.97e-05	5.4161419	2.911153	0.9455388		
8092134	2.50e-03	1.97e-05	-5.4160065	2.910844	-2.5177286	PLD1	phospholipase D1
7893534	2.51e-03	1.98e-05	-5.4140827	2.906445	-1.6957829		
7914489	2.62e-03	2.08e-05	-5.3935326	2.85944	-1.2023725	PTP4A2	protein tyrosine phosphatase type IVA, member 2
7990963	2.64e-03	2.10e-05	5.3895598	2.850349	0.9344388		
8173941	2.66e-03	2.12e-05	5.3847228	2.839278	1.6083437	TSPAN6	tetraspanin 6
8083469	2.68e-03	2.15e-05	5.3795256	2.827381	1.2391866		
7893101	2.71e-03	2.18e-05	5.3726856	2.811719	0.8018023		
8112070	2.75e-03	2.23e-05	5.363055	2.789661	1.6941154		
8016371	2.75e-03	2.23e-05	5.3627193	2.788892	0.9454306	SCRN2	secernin 2
8026520	2.75e-03	2.26e-05	-5.3587811	2.779869	-1.2380967	RAB8A	RAB8A, member RAS oncogene family
7892732	2.75e-03	2.26e-05	-5.3574147	2.776739	-2.8912142		
7893220	2.75e-03	2.27e-05	5.3565425	2.77474	1.305041		
8005441	2.75e-03	2.27e-05	-5.3552009	2.771666	-1.1825522	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8
8169028	2.75e-03	2.28e-05	5.3540462	2.76902	2.4644081	BEX3	brain expressed X-linked 3
